
3	31	26274872
2	12	26315552
4	18	27403512
4	17	26255912
3	14	25669904
3	23	26239304
2	18	25664056
2	15	25628128
2	55	26278632
3	29	26264304
4	36	26288528
4	27	25669096
4	11	26231032
3	30	26304240
4	14	25535368
4	14	25649656
4	18	26272208
4	33	26243520
4	13	26242632
2	24	26258248
4	16	26250528
3	45	26238928
2	12	25689280
3	22	26239744
2	32	26255792
4	15	25927736
4	18	26272136
3	27	27445312
3	40	26256136
4	12	27406288
3	15	25673960
3	18	26280264
2	18	26247040
3	21	26239648
2	36	25947808
2	32	26243192
4	7	25353472
3	28	25892184
3	16	25682320
3	8	25653440
3	29	26277648
3	9	25659104
3	47	26282464
2	10	25653256
2	13	26250168
3	33	26258744
4	20	27387752
2	15	26266512
4	12	25664888
3	39	26272384
4	23	26312776
4	11	26252160
4	14	26273696
2	21	25664216
3	7	26291184
3	24	26290424
4	10	25715304
3	10	25653176
4	30	26720832
2	30	26272584
4	19	26267904
3	8	25665768
4	19	26259992
3	11	25677816
4	29	26272408
2	12	25686064
3	61	26255960
2	11	25369512
4	24	26271456
4	11	25612360
2	8	25639008
2	20	25661656
3	21	26272392
2	29	27410672
2	25	25672416
3	13	25653280
2	8	27436152
2	24	25661408
2	16	25669944
3	25	26253896
4	14	26239448
2	46	26291352
4	11	25673488
4	11	25669480
3	39	25916528
4	24	27404992
2	25	25620648
2	33	26987408
2	43	26274688
4	21	25912360
2	34	26256088
4	8	25314152
4	18	26863440
2	12	25653216
2	16	26230824
4	13	26272104
2	9	25669496
4	11	25686048
3	36	27468096
2	36	25936584
